id,name,brand,imageurls,specification1,specification2,specification3,specification4,specification5,description,avgprice,category
4L,Microsoft Surface Laptop Studio,Microsoft,https://cdn.mos.cms.futurecdn.net/oVc97TaJagPNvKnyzmwx6E-970-80.jpg.webp,Display: 14.4-inch 120 Hz touchscreen (2400 x 1600 pixels),CPU: 11th Gen Intel Core i5 | Intel Core i7,GPU: Intel Iris Xe integrated graphics | Nvidia GeForce RTX 3050 Ti GPU,RAM: 16GB | 32 GB,Storage: 256 GB - 1 TB SSD,"{Microsoft's Surface Laptop Studio is a reimagined Surface Book with a more MacBook Pro-like design and an eye-catching hinged display. This is Microsoft’s flagship device for Windows 11, which promises to make Windows a more inviting place for both work and play. Like Windows 11, the Surface Laptop Studio is advertised as a one-stop shop for productivity, entertainment and creative work.}",1500$,laptop
5L,Macbook Pro 2021 (14-inch),Apple,https://cdn.mos.cms.futurecdn.net/bBAQjTGucAnERFdnJU6wdc-970-80.jpg.webp,Display: 14.2 inches; 3024x1964 pixels,CPU: Apple M1 Pro or Max with 10-core CPU,GPU: 16-core to 32-core integrated GPU,RAM: 16GB to 64GB,Storage: 512GB to 8TB SSD,"{If you see the Liquid Retina XDR display in the 14-inch MacBook Pro, you may not be able to stop yourself from buying one. This mini-LED panel features improved contrast and strong brightness that will have you reaching for your credit card. And that's just the tip of the iceberg, as the new M1 Pro processors are gobsmackingly fast and enable long battery life. But the story of the 2021 MacBook Pro models isn't just about their speediness and gorgeous display, it's about all the small things Apple changed along the way.}",2250$,laptop
6L,Dell XPS 15 OLED,Dell,https://cdn.mos.cms.futurecdn.net/S9FUUvZD76X6gwUQoRSGsY-970-80.jpg.webp,Display: 15.6 inches; 3.5K,CPU: 11th Gen Intel Core i7,GPU: Nvidia GeForce RTX 3050 Ti,RAM: 16 GB,Storage: 512 GB SSD,"{The Dell XPS 15 is one of our favorite laptops here at Tom's Guide because it's powerful, portable, and easy on the eyes. We especially love its immersive 15.6-inch InfinityEdge display, which ditches the bottom bezel for a stunning 92.9% screen to body ratio. The new XPS 15 is also made better by some smart design tweaks, such as bigger keycaps and a responsive touchpad that’s more than 60% larger than that of the previous generation.}",2150$,laptop
7L,Apple MacBook Air with M1,Apple,https://cdn.mos.cms.futurecdn.net/Wb7qvZo3fkh7MYaCsXMyqU-970-80.jpg.webp,Display: 13.3 inches; 2560x1600,CPU: Apple M1,GPU: Integrated 8-core GPU,RAM: 8GB-16GB,Storage: 256GB-2TB SSD,"{Apple has revolutionized its laptops, thanks to its own Apple silicon processors, which are replacing the Intel chips it's previously used. This chip delivers faster speeds than the Air's ever seen, and jaw-dropping battery life. Not only does the M1 chip make the MacBook Air a multi-tasking fiend, but it also enabled me to play Rise of the Tomb Raider smoothly, and that's even with Rosetta 2 conversion of that Intel app. Apple's move to ARM-based processors look to reap massive benefits, and that includes the ability to run iOS and iPadOS apps on your Mac. Plus, the MacBook Air's webcam is clearer and more color-accurate than ever, thanks to signal processing. We're also still happy to see the Magic Keyboard, a great upgrade from the Butterfly-style keyboard of the previous MacBooks. On top of that, you get stronger sound than you'd expect from a laptop this small, which support Dolby Atmos audio, for better-sounding movies and TV. Not only is this the best laptop for many if not most Apple users, it's a laptop that should have the PC world looking over its shoulders."},1000$,laptop
8L,Framework Laptop,Framework,https://cdn.mos.cms.futurecdn.net/6iKpRZSurvMdh5rXhXG7V8-970-80.jpg.webp,Display: 13.5-inch 3:2 (2256 x 1504 pixels),CPU: 11th Gen Intel Core i5 - i7,GPU: Intel Iris Xe integrated graphics,RAM: 8GB - 16GB,Storage: 256GB - 1TB SSD,"{The Framework Laptop is the anti-MacBook, a modular laptop that promises to let you customize, repair, and upgrade it to an unprecedented degree, all while remaining affordable and ultraportable. Each laptop Framework ships comes with a screwdriver so you can crack open the case and swap out parts yourself, and everything from the memory to the screen bezel to the mainboard is user-replaceable.}",819$,laptop
9L,Microsoft Surface Laptop 4,Microsoft,https://cdn.mos.cms.futurecdn.net/sJiQBtKzhcGx5XYubAQVzg-970-80.jpg.webp,Display: 13.5-inch 2256 x 1504 touchscreen,CPU: 11-Gen Intel Core i5/i7 | Ryzen 5/7 4000-series,GPU: Integrated Intel Iris Xe or Radeon graphics,RAM: 8GB to 32GB,Storage: 256GB to 1TB SSD,"{The Microsoft Surface Laptop 4 is the closest thing the company makes to a flagship Windows laptop. This 2021 addition to the Surface Laptop line packs premium components into a svelte chassis, and it comes with a clean Windows 10 install that's bloatware-free. If you're looking for a premium Windows laptop to work from anywhere, the Microsoft Surface Laptop 4 is the way to go. It has a comfy keyboard with well-sized, satisfying keys and a nice Alcantara deck option that gives your wrists a little more comfort than a typical all-metal laptop. Factor in the respectable 10+ hour battery life and the screen's tall 3:2 display ratio, which can help you read and edit documents more comfortably, and you have a great notebook for getting things done on the go.}",800$,laptop
10L,HP Spectre x360 14,HP,https://cdn.mos.cms.futurecdn.net/NL5rmgMq59L2oSxyuwkDxn-970-80.jpg.webp,Display: 14-inch 1920 x 1280 FHD (as tested) or 3000 x 2000 OLED touchscreen,CPU: Intel Core i7-1165G7,GPU: Intel Iris Xe integrated graphics,RAM: 8 GB,Storage: 256GB to 512GB SSD,"{The HP Spectre x360 14 is a powerhouse of a convertible business laptop, featuring top-tier hardware that provides excellent performance for both work and play. Available in three colors (silver, black, and navy blue) and sporting an ultra-thin profile of just .67 inches, the HP Spectre x360 brings a touch of sophisticated style that perfectly complements its internal components. Whether your office is wherever you happen to be that day, or you're looking to upgrade your home laptop, you'd be hard-pressed to find a better option.}",1250$,laptop
1P,Apple iMac 27-inch (2020),Apple,https://cdn.mos.cms.futurecdn.net/3ik4iUhr8M2AZnox5kwoxa-970-80.jpg.webp,Type: All-in-One,CPU: 10th-gen Intel Core i5 / i7 / i9,Graphics: Up to AMD Radeon Pro 5700 XT,RAM: Up to 128GB of RAM,Storage: Up to 4TB SSD,"{The Apple iMac 27-inch (2020) is the last Intel-powered all-in-one from Apple, but it still has plenty of power for most people. The 27-inch iMac boasts Intel 10th-generation processors, AMD Radeon Pro 5000 series graphics, and perhaps most importantly, a 1080p webcam – a big step up from the 720p cameras used in older iMacs. Other highlights of the 2020 iMac included enhanced speakers and optional nano-texture display that reduces glare.}",1739$,pc
2P,Alienware Aurora R11,Alienware,https://cdn.mos.cms.futurecdn.net/68bFxqtyGobusu5LQ6u6Nh-970-80.jpg.webp,Type: Gaming desktop,CPU: Up to Intel Core i9-10900F,Graphics: Up to Nvidia GeForce RTX 3090,RAM: Up to 128 GB,Storage: Up to 2 TB SSD + 2 TB HDD,"{The Alienware Aurora R11 is currently one of the best gaming PCs you can buy, whether you go for a modest model that costs $1,000, or a mighty behemoth that costs $5,000. This gorgeous, highly customizable device features a slick chassis with a striking oval faceplate, as well as hardware up to an Intel Core i9-10900F CPU and an Nvidia GeForce RTX 3090 GPU.}",2400$,pc
3P,Apple iMac 24-inch (2021),Apple,https://cdn.mos.cms.futurecdn.net/7hq8LosjChoWg3pzCuqezb-970-80.jpg.webp,Display: 24-inch; 4480 x 2520 display,Special Features: 1080p webcam; great speakers,Processor: Apple M1 chip (8-core w/ 7-core GPU on $1299 model; 8-core GPU otherwise),Graphics: Apple M1 chip (8-core w/ 7-core GPU on $1299 model; 8-core GPU otherwise),Gorgeous display,"{The Apple iMac 2021 (24-inch) is a breath of fresh air for the aging iMac line, arriving with a beautiful display, an excellent webcam and an array of bright new color schemes. This is also the first iMac to incorporate Apple’s M1 chip, a custom bit of silicon that’s already proven itself to be powerful and efficient in the M1 MacBook Air, the M1 MacBook Pro, and the Mac mini with M1.}",1400$,pc
4P,Acer Predator Orion 3000,Acer,https://cdn.mos.cms.futurecdn.net/HZGiVga7ox9uCBRMpD5FrP-970-80.jpg.webp,VR Ready: Yes,Processor: Up to Intel Core i7,RAM: 16GB,Graphics Card: Up to Nvidia GeForce RTX 3070 Ti,Storage: Up to 1TB HDD; 1TB SSD,"{The Acer Predator Orion 3000 ($829 to start, $1,949 as reviewed) is a mid-sized gaming PC that's attractive, (relatively) affordable, and great for playing games at 1080p to 1440p. It's not a great choice if you're looking to play games at 4K, however, and its packed-in keyboard and mouse leave much to be desired. The Orion 3000 also fared slightly worse in our suite of performance tests than some similarly-priced gaming PCs, perhaps because our review unit arrived with just 16GB of RAM. The case is well-organized and easy to open though, so it should be pretty easy to upgrade this machine with more RAM when you need it. With its sub-$2,000 price, beefy components, and stylish, accessible case, Acer's Predator Orion 3000 is a great first gaming PC for someone looking to get into the hobby.}",1500$,pc
5P,Azulle Access3,Azulle,https://cdn.mos.cms.futurecdn.net/cSGcQufQo7vwUF7aANY6Tg-970-80.jpg.webp,Type: Mini PC,CPU: Intel Celeron N4100,Graphics: Intel UHD Graphics 600,RAM: 2GB / 4GB / 6GB,Storage: Up to 64GB,"{The Azulle Access3 takes our favorite tiny stick PC and makes it even better. With a compact design that's almost small enough to put on a keychain, and flexible enough to be used with any monitor or TV, the Access3 gets a faster processor, speedier USB 3.0 ports and adds Gigabit Ethernet for better performance and connectivity than any other stick PC we've reviewed. The zippy performance even supports 4K video output, making it great for streaming.}",170$,pc
6P,Apple Mac mini with M1,Apple,https://cdn.mos.cms.futurecdn.net/hnGqKZ8Kyx7GuNgHEyXHKY-970-80.jpg.webp,Type: Mini PC,CPU: Apple M1 (8-core CPU; 8-core GPU),Graphics: Apple M1 (8-core CPU; 8-core GPU),RAM: 8GB / 16GB,Storage: 256GB to 2 TB,"{The Apple Mac mini with M1 processor is everything we loved about the Mac mini, but now its cheaper and faster thanks to the addition of Apple's custom M1 chip. While the M1 chip's lack of support for Boot Camp makes running Windows on this machine tricky, for most users this is a no-brainer: The M1 Mac mini is the most affordable of Apple's new crop of Macs, and it delivers huge value for a decent price. If you're a professional or were keen for now-missing features like eGPU support, then you might want to look elsewhere, but if you just want a Mac desktop that won't cost a lot of money, the M1 Mac mini is the best thing out there.}",670$,pc
7P,Microsoft Surface Studio 2,Microsoft,https://cdn.mos.cms.futurecdn.net/jhP4BMGcNKcsGkFxCcruiE-970-80.jpg.webp,Type: All-in-One,CPU: Intel Core i7-7820HQ,Graphics: Nvidia GTX 1060 / GTX 1070,RAM: Up to 32GB,Storage: Up to 2TB SSD,"{The Microsoft Surface Studio 2 is the best thing around for anyone who does digital art, thanks to a gorgeous touchscreen that drops down low for comfortable touch and pen use. The better-than-4K display looks amazing, the touch screen supports both the Surface Pen and Surface Dial and the design is top-notch. The design alone would make this the best touchscreen all-in-one for drawing, but the addition of best-in-class pen support takes it up another level.}",3600$,pc
8P,MSI MEG Trident X,MSI,https://cdn.mos.cms.futurecdn.net/DbcLJPCpe4ses58hcecotK-970-80.jpg.webp,Type: Gaming desktop,CPU: Up to Intel Core i9-10900K,Graphics: Up to Nvidia GeForce RTX 2080 Ti,RAM: Up to 64 GB,Storage: Up to 1 TB SSD + 1 TB HDD,"{The first thing you'll notice about the MSI MEG Trident X is that it's absolutely gorgeous. This small, angular machine fits easily into just about any gaming nook, and is ideal for either desktop or living room setups. The second thing you'll notice is that it runs games absolutely beautifully, whether you want to experience them at full HD, QHD or UHD settings. With a variety of processor, GPU and RAM options from which to choose, you'll be able to customize a machine that works for your games, and for your monitor.}",2799$,pc
9P,Raspberry Pi 4 Model B,Raspberry,https://cdn.mos.cms.futurecdn.net/b75Q68Gb65uDNS6EpSnNN9-970-80.jpg.webp,Type: Single-board,CPU: ARM Cortex A72,Graphics: VideoCore VI GPU,RAM: 1 GB / 2 GB / 4 GB,Storage: N/A,"{The Raspberry Pi ushered in a new era of DIY tech, and the latest model, the Raspberry Pi 4 Model B, pushes that to new heights with a more powerful processor, 4K video output and an improved part selection. The latest model, the $35 Raspberry Pi 4 Model B offers enormous value for projects ranging from simple to complex, from its enhanced processing and graphics to offering broad compatibility with older accessories. If you want to do something different with your technology, the Raspberry Pi 4 Model B is the best mini PC for tinkering and experimenting. Whether you buy it alone or in a kit, the Raspberry Pi is hard to beat. Since our review, the Raspberry Pi 4 Model B has been updated with a new model that has 8GB of RAM, significantly improving on the 2GB memory of the base model.}",130$,pc
10P,Dell XPS 8940,Dell,https://cdn.mos.cms.futurecdn.net/obmiRizec7ewSHoWxXGLdS-970-80.jpg.webp,Processor: Up to 10th Gen Intel Core i9-10900K,RAM: Up to 128 GB,Graphics Card: Up to Nvidia GeForce RTX 3070,Storage: Up to 2 TB SSD + 2 TB HDD,Accessories: None,"{The Dell XPS 8940 is one of the best PCs for students because it's a solid entry-level machine that's small, quiet, affordable, and packed with components powerful enough to tackle any school project — or play the latest games at a steady clip. The XPS 8940 is a great investment for students because it packs those powerful components into a low-key, unassuming chassis that won't look out of place in a dorm or office setting. And while the inside is a little cramped, there's plenty of room to tinker and upgrade as your needs change, and you don't need any tools to open up the chassis — you just need to remove two thumb screws and a side panel.}",1050$,pc
